CPD,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1–5 CPD (%),37.00,37.88,37.39,37.17,37.57,38.68,39.38,40.81,41.98,41.58,42.36,43.17,43.29,43.64
6–15 CPD (%),25.25,24.99,25.16,27.16,27.38,27.09,26.79,27.48,28.41,28.78,28.24,29.09,29.66,28.77
16 + CPD (%),37.75,37.12,37.45,35.66,35.05,34.23,33.83,31.71,29.61,29.64,29.41,27.74,27.05,27.59
